distance,first_registration,fuel,price,search,title,url,year
1200,2023-10-06,Elektrisitet,449000,kia e-niro,Kia Niro EV Active Pluss -Norsk -Tilhengerfeste -Serviceavtale,https://www.finn.no/car/used/ad.html?finnkode=333910563,2024
10,2022-07-29,Elektrisitet,399999,kia e-niro,"Kia E-Niro NY TYPE NIRO EV,Skinn,Navi,Kamera,kjøres frem med nøkke",https://www.finn.no/car/used/ad.html?finnkode=332755335,2023
16500,2022-12-23,Elektrisitet,399000,kia e-niro,"Kia Niro Active Adaptive Cruise, Carplay, Ryggekamera, Bluetooth",https://www.finn.no/car/used/ad.html?finnkode=334119440,2023
12500,2022-12-30,Elektrisitet,419000,kia e-niro,"Kia E-Niro 64,8KWH/460WLTP/ACTIVE PLUSS/NORSK BIL/INNBYTTE/FINANS",https://www.finn.no/car/used/ad.html?finnkode=334124716,2023
10,2022-12-28,Elektrisitet,429999,kia e-niro,Kia E-Niro Active ACC Rattvarme UVO Kamera Navi Norsk V-dekk,https://www.finn.no/car/used/ad.html?finnkode=334355302,2023
46050,2020-12-10,Elektrisitet,349868,kia e-niro,Kia E-Niro Exclusive m/Soltak,https://www.finn.no/car/used/ad.html?finnkode=334335610,2021
40500,2022-01-26,Elektrisitet,339000,kia e-niro,Kia E-Niro 64Kwt/Exclusive/452km/Garanti/Innbytte,https://www.finn.no/car/used/ad.html?finnkode=334775587,2022
91000,2022-04-07,Elektrisitet,249000,kia e-niro,Kia E-Niro 64KWH Exclusive Soltak Varme Pumpe,https://www.finn.no/car/used/ad.html?finnkode=334779660,2019
72503,2020-08-03,Elektrisitet,289000,kia e-niro,Kia E-Niro 64kWh Exclusive/Skinn/Soltak/Navi/Ledbar/S+V-hjul+++,https://www.finn.no/car/used/ad.html?finnkode=334554210,2020
35250,2021-08-06,Elektrisitet,319000,kia e-niro,Kia E-Niro E-NIRO 64kWh 455KM WLTP,https://www.finn.no/car/used/ad.html?finnkode=334802567,2021
10,2022-12-28,Elektrisitet,479900,kia e-niro,"Kia E-Niro 64,8 kWh Exclusive Soltak Skinn H/K HUD INNBYTTE/FINANS",https://www.finn.no/car/used/ad.html?finnkode=289995471,2023
5000,2022-10-03,Elektrisitet,399900,kia e-niro,Kia Niro Activ Plus,https://www.finn.no/car/used/ad.html?finnkode=290741353,2023
74000,2020-09-25,Elektrisitet,348000,kia e-niro,Kia Niro 64 kWh ACTIVE| TEKNIKK| VARMEPUMPE| NYBILGARANTI++,https://www.finn.no/car/used/ad.html?finnkode=294453340,2020
69300,2020-12-04,Elektrisitet,326868,kia e-niro,Kia E-Niro 150Kw//Exclusive//Skinn//Norsk//Varmepumpe//JBL++,https://www.finn.no/car/used/ad.html?finnkode=295079478,2020
56000,2022-04-19,Elektrisitet,306000,kia e-niro,Kia E-Niro Exclusive 64kw/11kw,https://www.finn.no/car/used/ad.html?finnkode=296777833,2022
35000,2022-02-17,Elektrisitet,359000,kia e-niro,Kia Niro EXCLUSIVE 64KWH| V-PUMPE| SKINN| SOLTAK| 3-FAS| ACC++,https://www.finn.no/car/used/ad.html?finnkode=303729238,2022
19000,2022-01-31,Elektrisitet,349900,kia e-niro,Kia E-Niro Vision LED Varmepumpe S/V-hjul ACC Navi R.kamera,https://www.finn.no/car/used/ad.html?finnkode=308143991,2022
67200,2019-10-09,El + Bensin,210000,kia e-niro,Kia Niro Hybrid Exclusive / Skinn / Norsk / JBL / 7-år Garanti++,https://www.finn.no/car/used/ad.html?finnkode=308826604,2019
9900,2022-05-25,Elektrisitet,379000,kia e-niro,Kia E-Niro Active Norsk Strøken,https://www.finn.no/car/used/ad.html?finnkode=310578100,2022
193000,2020-12-14,Elektrisitet,269000,kia e-niro,Kia Niro 64KWh 455KM NORSK BIL SOLTAK SKINN MEDIA NAVI KAMERA ++,https://www.finn.no/car/used/ad.html?finnkode=315369672,2021
18000,2022-02-21,Elektrisitet,309000,kia e-niro,Kia Soul 64KWH/NAVI/KAMERA/HARMAN/KARDON/V-PUMPE/APP/LED/DAB++,https://www.finn.no/car/used/ad.html?finnkode=317324707,2022
190029,2021-04-26,Elektrisitet,259000,kia e-niro,Kia E-Niro 64kWh/204/hk/Exclusive/Navi/Adaptiv/Skinn/ISOFIX/DAB+,https://www.finn.no/car/used/ad.html?finnkode=320171668,2021
4925,2023-05-31,Elektrisitet,439000,kia e-niro,"Kia Niro EV 64,8 kWh Active Pluss",https://www.finn.no/car/used/ad.html?finnkode=317698271,2023
16000,2022-01-18,Elektrisitet,419000,kia e-niro,Kia EV6 77KWH/L-RANGE/SKINN/V-PUMPE/KAMERA/RELAX/528KM++,https://www.finn.no/car/used/ad.html?finnkode=320505910,2022
69000,2021-08-31,Elektrisitet,319000,kia e-niro,Kia E-Niro -64Kwt/Exclusive 7 år garanti/Kamera-,https://www.finn.no/car/used/ad.html?finnkode=322653435,2021
194886,2021-04-28,Elektrisitet,249000,kia e-niro,Kia E-Niro 64kWh/204/hk/Exclusive/Navi/Adaptiv/Skinn/ISOFIX/DAB+,https://www.finn.no/car/used/ad.html?finnkode=320842245,2021
10,2022-08-08,Elektrisitet,379900,kia e-niro,"Kia E-Niro NB!VARMEPUMPE,EL-SETER,LADEPLATE TLF,NAV,KAM,LED,TECTYL",https://www.finn.no/car/used/ad.html?finnkode=321469361,2023
10,2022-08-08,Elektrisitet,389900,kia e-niro,"Kia E-Niro EV,SKINN,EL-SETER,V-PUMP,DUAL LED,SJEKK UTSTYRSLISTE!!",https://www.finn.no/car/used/ad.html?finnkode=321469180,2023
146000,2021-06-21,Elektrisitet,249999,kia e-niro,Kia E-Niro 64kWh Exclusive Soltak Skinn Kamera ACC UVO DAB Pen,https://www.finn.no/car/used/ad.html?finnkode=322823779,2021
3300,2022-08-18,Elektrisitet,399000,kia e-niro,Kia E-Niro 64kWt 204HK ACC Head Up FULL LED,https://www.finn.no/car/used/ad.html?finnkode=323442735,2023
11500,2022-09-13,Elektrisitet,399900,kia e-niro,"Kia Niro EV 64,8 kWh Active Pluss",https://www.finn.no/car/used/ad.html?finnkode=326754743,2023
26000,2021-05-27,Elektrisitet,310000,kia e-niro,"Kia E-Niro 64kWh,Cruise Soltak 3fas Med vinterdekk",https://www.finn.no/car/used/ad.html?finnkode=327801517,2021
112000,2019-02-07,Elektrisitet,254000,kia e-niro,Kia E-Niro 64 kWh -NY I NORGE - SKINN - FIRST EDITION,https://www.finn.no/car/used/ad.html?finnkode=328509346,2019
35000,2019-05-27,Elektrisitet,299800,kia e-niro,Kia E-Niro 64kWh Design/Skinn/R. Kamera/Adaptive Cruise/Navi+++,https://www.finn.no/car/used/ad.html?finnkode=328585019,2019
64700,2017-08-18,El + Bensin,179950,kia e-niro,Kia Niro HYBRID 1.6 GDI/Automat/ EXCLUSIVE/Skinn/JBL/CarPlay,https://www.finn.no/car/used/ad.html?finnkode=328924994,2017
4000,2022-08-21,Elektrisitet,384900,kia e-niro,Kia E-Niro 64kWt 204HK HUD ACC FULL LED,https://www.finn.no/car/used/ad.html?finnkode=332041902,2023
71000,2021-02-18,Elektrisitet,318000,kia e-niro,Kia E-Niro 64 KW Exclusive/Soltak//Skinn/V.Ratt/Vi tar innbytte,https://www.finn.no/car/used/ad.html?finnkode=329935389,2021
56743,2021-06-18,Elektrisitet,319000,kia e-niro,"Kia E-Niro Exclusive ADAPTIV CRUISE, MEMORY, KAMERA, CARPLAY, NAVI",https://www.finn.no/car/used/ad.html?finnkode=330626251,2021
8000,2023-01-18,Elektrisitet,399900,kia e-niro,"Kia E-Niro 64KW Exclusive, Skinn, HUD, ACC, Carplay+++",https://www.finn.no/car/used/ad.html?finnkode=332294311,2023
43400,2021-05-04,Elektrisitet,318000,kia e-niro,Kia E-Niro EXCLUSIVE 204HK/455KM-WLTP SKINN NAVI UVO ACC KAMERA BT,https://www.finn.no/car/used/ad.html?finnkode=334831833,2021
89100,2021-05-17,Elektrisitet,259000,kia e-niro,Kia E-Niro Varmepumpe-Skinn-Ventilerte seter. Innbytte/Finans,https://www.finn.no/car/used/ad.html?finnkode=334887869,2021
10,2022-11-16,Elektrisitet,439900,kia e-niro,"Kia E-Niro EV 64,8kWh Exclusive/H&K lyd/Relax/Soltak/GreyPack/ALT",https://www.finn.no/car/used/ad.html?finnkode=334913138,2023
117000,2020-06-19,Elektrisitet,248900,kia e-niro,Kia E-Niro EXCLUSIVE FACELIFT FULLSKINN ++,https://www.finn.no/car/used/ad.html?finnkode=335351472,2020
104000,2019-03-14,Elektrisitet,239000,kia e-niro,"Kia E-Niro 64 KW,SKINN,ACC,KAMERA,NAVI,TLF,TAKLUKE,JBL,KEYLESS,DAB",https://www.finn.no/car/used/ad.html?finnkode=335596630,2019
10,2022-08-08,Elektrisitet,389900,kia e-niro,"Kia Niro ACTIVE+,EL-SETE,SKINN,V-PUMP,2XLED,LADEPLATE MOB,TECTYL",https://www.finn.no/car/used/ad.html?finnkode=335848917,2023
14904,2022-10-19,Elektrisitet,409900,kia e-niro,"Kia E-Niro ACTIVE PLUSS.NORSK BIL! SKINN.NAVI.DAB,RYGGEKAMERA++",https://www.finn.no/car/used/ad.html?finnkode=335842621,2023
21000,2022-12-28,Elektrisitet,429900,kia e-niro,"Kia E-Niro EV Norsk Exclusive, Harman, skinn, head-up+++",https://www.finn.no/car/used/ad.html?finnkode=336263993,2023
90230,2020-09-25,Elektrisitet,286868,kia e-niro,Kia E-Niro Kia eNiro EXCLUSIVE++|TOPPUTSTYRT|64kWh|ACC|V-PUMP|S+V,https://www.finn.no/car/used/ad.html?finnkode=324730284,2020
49500,2019-11-21,Elektrisitet,279000,kia e-niro,Kia E-Niro EXCLUSIVE SOLTAK SKINN ACC OPPV.RATT R.KAMERA NAVI,https://www.finn.no/car/used/ad.html?finnkode=336124523,2019
68400,2018-02-22,El + Bensin,189000,kia e-niro,"Kia Niro 1,6 Plug-in Hybrid, Norsk, Lav km, Ny service, Ny EU,",https://www.finn.no/car/used/ad.html?finnkode=336295191,2018
55000,2020-09-09,Elektrisitet,270000,kia e-niro,Kia E-Niro Exclusive,https://www.finn.no/car/used/ad.html?finnkode=336328233,2020
8570,2022-12-16,Elektrisitet,399000,kia e-niro,Kia E-Niro |Skinn |LED|Harman/Kardon|VL2|2 Sett hjul|ACC,https://www.finn.no/car/used/ad.html?finnkode=336311763,2023
81500,2020-01-02,Elektrisitet,249900,kia e-niro,Kia E-Niro E-NIRO 150KW FIRST EDITION! FULL! NY EU! NY SERVICE!,https://www.finn.no/car/used/ad.html?finnkode=335915686,2019
18300,2021-12-02,Elektrisitet,359000,kia e-niro,Kia E-Niro Exclusive 64 KWh 455km WLTP /Skinn/soltak/JBL/+++,https://www.finn.no/car/used/ad.html?finnkode=336657756,2022
30000,2022-02-11,Elektrisitet,320000,kia e-niro,Kia E-Niro Exclusive,https://www.finn.no/car/used/ad.html?finnkode=336787550,2020
21000,2021-12-28,El + Bensin,329000,kia e-niro,"Kia Niro 1,6 Hybrid_Active *KAMPANJE*",https://www.finn.no/car/used/ad.html?finnkode=337159423,2022
50000,2020-10-26,Elektrisitet,299000,kia e-niro,Kia E-Niro 64kWh Exclusive ACC/ DAB/ JBL/ Forvarming++,https://www.finn.no/car/used/ad.html?finnkode=336798539,2020
23500,2022-10-14,Elektrisitet,399900,kia e-niro,Kia Niro 64KW EXCLUSIVE HEAD UP EL BAKLUKE H&K LYD SKINN NAVI++,https://www.finn.no/car/used/ad.html?finnkode=337215014,2023
44380,2019-01-14,Elektrisitet,278900,kia e-niro,Kia E-Niro 64kWh First Edition -Norsk Bil! -Må Sees!,https://www.finn.no/car/used/ad.html?finnkode=337178815,2019
115700,2019-03-01,Elektrisitet,228800,kia e-niro,Kia E-Niro 64 kWh Exclusive/ Skinn/ Soltak/ Nybilgaranti mars 26,https://www.finn.no/car/used/ad.html?finnkode=336780265,2019
80695,2018-11-28,El + Bensin,219000,kia e-niro,"Kia Niro 1.6  Exclusive,Skinn,Navi.Tilhengerfeste++",https://www.finn.no/car/used/ad.html?finnkode=337288680,2019
11997,2022-10-21,Elektrisitet,385000,kia e-niro,"Kia E-Niro 64,8 kWh Active",https://www.finn.no/car/used/ad.html?finnkode=337309124,2023
12033,2022-12-30,Elektrisitet,349900,kia e-niro,"Kia Soul 64kWh Advance Uvo,Delskinn,11kWh,R.kamera,DAB+,Navi,ACC",https://www.finn.no/car/used/ad.html?finnkode=337333114,2023
25486,2020-01-28,Elektrisitet,299900,kia e-niro,Kia E-Niro 64KWH 455KM | HELSKINN | ACC | NAVI | KAMERA | LAV-KM |,https://www.finn.no/car/used/ad.html?finnkode=337703187,2020
68700,2021-01-25,Elektrisitet,299000,kia e-niro,Kia E-Niro Exclusive Norsk bil,https://www.finn.no/car/used/ad.html?finnkode=337316909,2021
42000,2022-02-02,Elektrisitet,309990,kia e-niro,Kia E-Niro UVO/Varmepumpe/JBL/5+ års garanti++,https://www.finn.no/car/used/ad.html?finnkode=335937941,2022
66000,2020-09-08,Elektrisitet,279000,kia e-niro,Kia E-Niro Exclusive / 64kWh/150KW / Topputstyrt / H&K Anlegg,https://www.finn.no/car/used/ad.html?finnkode=338100780,2020
122008,2020-10-02,Elektrisitet,260000,kia e-niro,Kia E-Niro E-NIRO 150KW Active +,https://www.finn.no/car/used/ad.html?finnkode=338141718,2020
160000,2021-01-11,Elektrisitet,239000,kia e-niro,Kia E-Niro EXCLUSIVE/455KM/SKINN/JBL/NAV/KJØLING/R.KAM/GARANTI++,https://www.finn.no/car/used/ad.html?finnkode=338157246,2021
13000,2023-04-20,Elektrisitet,399000,kia e-niro,Kia Niro Exclusive Norsk *ACC*Krok*Navi*Skinn*Harman*HeadUp,https://www.finn.no/car/used/ad.html?finnkode=339551552,2023
