area,distance,first_registration,fuel,price,search,title,url,year
"Drammensveien 207, 0281 Oslo",148800,2010-02-01,Diesel,49900,Skoda Octavia,"Skoda Octavia 1,6 CR DPF Ambiente -Norsk bil! -Må sees!",https://www.finn.no/car/used/ad.html?finnkode=343689159,2010
"Siggerudveien 236, 1425 Ski",167000,2014-03-31,Bensin,119990,Skoda Octavia,Skoda Octavia 1.4-140HK / S.Seter / H.feste / Pano / Cruise / Dab+,https://www.finn.no/car/used/ad.html?finnkode=343688725,2014
"merdevegen 6, 3676 Notodden",38600,2022-08-17,Diesel,389000,Skoda Octavia,Skoda Octavia KROK / ACC / DELSKINN / VARMER,https://www.finn.no/car/used/ad.html?finnkode=343702929,2022
"Økernveien 115, 0579 Oslo",75300,2016-11-07,Bensin,249000,Skoda Octavia,"Skoda Octavia 1,8TSI 180hk 4x4 DSG L&K. ACC,Webasto,Krok",https://www.finn.no/car/used/ad.html?finnkode=343715366,2017
"Vorsetøyveien 11, 8300 Svolvær",43100,2021-02-19,El + Bensin,399800,Skoda Octavia,"Skoda Octavia RS RKAM, NAVI,RATTVARME,HEADUP",https://www.finn.no/car/used/ad.html?finnkode=342913382,2021
"Sportsveien 3, 3615 Kongsberg",118311,2017-05-24,Bensin,169000,Skoda Octavia,"Skoda Octavia 1,0 TSI 115hk Style H.FESTE/WEBASTO/KAMERA/NAVI",https://www.finn.no/car/used/ad.html?finnkode=342914756,2018
1593 Svinndal,368550,2008-05-30,Diesel,15345,Skoda Octavia,Skoda Octavia OCTAVIA 1.9-105 D,https://www.finn.no/car/used/ad.html?finnkode=342934954,2008
"Industriveien 45, 7080 Heimdal",87252,2019-12-23,Diesel,295000,Skoda Octavia,Skoda Octavia 4x4 DSG ACC Webasto Canton Kamera Krok ActiveInfo++,https://www.finn.no/car/used/ad.html?finnkode=342926219,2019
"Alfasetveien 11, 0668 Oslo",100088,2021-04-14,Diesel,348000,Skoda Octavia,Skoda Octavia a8 stv sty d150 dsg4x4kamp ACC/KEYLESS/DELSKINN/RKAMERA,https://www.finn.no/car/used/ad.html?finnkode=342926712,2021
7022 Trondheim,214000,2013-11-28,Diesel,109305,Skoda Octavia,Skoda Octavia OCTAVIA 1.6TDI 4x4 Webasto EU-ok til mars 2026!,https://www.finn.no/car/used/ad.html?finnkode=342924683,2014
7877 Høylandet,282522,2012-02-06,Diesel,30845,Skoda Octavia,Skoda Octavia OCTAVIA 1.6-105 D Family,https://www.finn.no/car/used/ad.html?finnkode=342951490,2012
"Helldalhaugen 22, 5226 Nesttun",263000,2007-06-15,Diesel,19845,Skoda Octavia,Skoda Octavia OCTAVIA 1.9-105 ( Godkj til 1.1.25),https://www.finn.no/car/used/ad.html?finnkode=342989336,2007
"Bratsbergveien 11, 7037 Trondheim",111203,2012-09-05,Diesel,119990,Skoda Octavia,"Skoda Octavia 1,6D DSG AUTOMAT KROK DAB NY SERVICE NY EU",https://www.finn.no/car/used/ad.html?finnkode=343008080,2013
"ØVRE EIKERVEI 77, 3048 Drammen",191000,2014-07-25,Bensin,129000,Skoda Octavia,Skoda Octavia DSG 4x4,https://www.finn.no/car/used/ad.html?finnkode=343013467,2015
"Semslinna 19, 3170 Sem",81145,2017-10-30,Bensin,239900,Skoda Octavia,"Skoda Octavia 1,8 TSI 180hk L&K 7DSG Krok/Navi/ACC/Kamera/Park.varmer",https://www.finn.no/car/used/ad.html?finnkode=343016845,2018
"Sanderplassen 1, 6800 Førde",111300,2019-05-20,Bensin,319000,Skoda Octavia,Skoda Octavia RS Oct3fl stv rs tsi 245 dsg,https://www.finn.no/car/used/ad.html?finnkode=343027990,2019
"Alfasetveien 11, 0668 Oslo",114482,2013-08-30,Bensin,168000,Skoda Octavia,Skoda Octavia 3 ele tsi 180 4x4 dsg Krok/Webasto/Skinn/Navi/ACC,https://www.finn.no/car/used/ad.html?finnkode=343043683,2014
"Bruksgata 19, 3300 Hokksund",106000,2020-02-04,Diesel,325000,Skoda Octavia,Skoda Octavia Scout 184HK 4x4 AUT+SKINN+KROK+WEBASTO+NAVI+KAMERA+CANTON+ACC,https://www.finn.no/car/used/ad.html?finnkode=343025352,2020
5725 Vaksdal,240981,2007-01-25,Diesel,31777,Skoda Octavia,Skoda Octavia OCTAVIA 2.0-170 D,https://www.finn.no/car/used/ad.html?finnkode=320011303,2007
"Diktervegen 8, 5538 Haugesund",48790,2019-02-08,Bensin,249900,Skoda Octavia,Skoda Octavia 1.5  TSI 150hk Automat Style m/Lav KM/ACC++,https://www.finn.no/car/used/ad.html?finnkode=342235096,2019
"Haukelivegen 784, 5580 Ølen",159000,2016-01-08,Bensin,179305,Skoda Octavia,"Skoda Octavia 1,8 TSI 180hk 4x4 L&K 6DSG (K)",https://www.finn.no/car/used/ad.html?finnkode=342277832,2016
"Ing. Rybergsgate 96, 3027 Drammen",38700,2022-11-25,Diesel,449900,Skoda Octavia,Skoda Octavia style tdi 150hk 4x4 EL-seter Webasto H-feste Matrix ACC,https://www.finn.no/car/used/ad.html?finnkode=342278056,2022
7710 Sparbu,149405,2016-02-26,Bensin,161305,Skoda Octavia,Skoda Octavia OCTAVIA 1.8-179 4X4,https://www.finn.no/car/used/ad.html?finnkode=342269529,2016
"Lønningshaugen 15, 5258 Blomsterdalen",84800,2016-01-29,Bensin,239900,Skoda Octavia,"Skoda Octavia 1,8/180HK/4x4/AUT/ACC/WEBASTO/CARPLAY/CANTON/KROK/NORSK",https://www.finn.no/car/used/ad.html?finnkode=342312132,2016
"Bruveien 17, 3055 Krokstadelva",118465,2018-07-12,Bensin,248500,Skoda Octavia,"Skoda Octavia 1,8Tsi/180Hk/4x4/Aut/Webasto/Canton/Delskinn/12Mnd Gar",https://www.finn.no/car/used/ad.html?finnkode=342319405,2018
"Lønningshaugen 15, 5258 Blomsterdalen",39200,2020-08-25,Diesel,349900,Skoda Octavia,Skoda Octavia 2.0-184HK 4X4/AUT/ACC/NAV/CANTON/KAM/WEBASTO/KROK/NORSK,https://www.finn.no/car/used/ad.html?finnkode=342312215,2020
"Barstadveien 3, 3089 Holmestrand",103855,2017-07-03,Bensin,209000,Skoda Octavia,"Skoda Octavia 1.8TSI 180HK,7DSG,WEBASTO,ACC,KROK,PEN BIL,L&K,EU-2025",https://www.finn.no/car/used/ad.html?finnkode=342331945,2018
"Masteveien 3, 1481 Hagan",193000,2012-12-06,Diesel,69000,Skoda Octavia,Skoda Octavia 2.0D 4x4 Manuell/Ny Eu//H-feste/Webasto/Påkostet bil!,https://www.finn.no/car/used/ad.html?finnkode=342343629,2013
1721 Sarpsborg,245800,2012-02-20,Diesel,74305,Skoda Octavia,Skoda Octavia OCTAVIA 2.0-110 D 4X4. Ny  Reg.rein og Clutch,https://www.finn.no/car/used/ad.html?finnkode=342326077,2012
"Haakon VIIs gate 13, 7041 Trondheim",79517,2019-04-24,Diesel,294900,Skoda Octavia,"Skoda Octavia 2,0TDI-150HK-4X4-DSG-NYBILGARA-WEBASTO-VIRTUAL-CAM-KROK",https://www.finn.no/car/used/ad.html?finnkode=342358621,2019
3924 Porsgrunn,187300,2015-09-17,Diesel,139305,Skoda Octavia,Skoda Octavia OCTAVIA 2.0-150 D,https://www.finn.no/car/used/ad.html?finnkode=342402819,2016
"Nedre Eikervei 12 A, 3045 Drammen",195000,2016-11-24,Diesel,139900,Skoda Octavia,"Skoda Octavia 2,0TD.150HK.Automat.EUfeb26.Hist.Outlet.Se på denne!",https://www.finn.no/car/used/ad.html?finnkode=342414828,2017
"Storamyr 23, 4280 Skudeneshavn",142000,2013-12-10,Diesel,129900,Skoda Octavia,"Skoda Octavia 1,6 TDI 4x4",https://www.finn.no/car/used/ad.html?finnkode=342442735,2014
"Raset 54, 3735 Skien",254000,2009-07-24,Diesel,69990,Skoda Octavia,Skoda Octavia 1.9D 105hk 4x4/NY EU/Ny Regreim/Pålitelig/SJEKK MOTOR!!,https://www.finn.no/car/used/ad.html?finnkode=342453915,2010
"Stenebytoppen 1, 4054 Tjelta",125700,2016-11-23,Diesel,239305,Skoda Octavia,Skoda Octavia RS 4x4/Aut/ACC/Kamera/Webasto/Navi/DAB/Krok,https://www.finn.no/car/used/ad.html?finnkode=342371676,2017
"Otterveien 2, 9305 Finnsnes",96420,2017-10-24,Diesel,259900,Skoda Octavia,Skoda Octavia 2.0 tdi 150hk Style,https://www.finn.no/car/used/ad.html?finnkode=341799496,2018
5635 Hatlestrand,164000,2007-06-22,Diesel,48845,Skoda Octavia,Skoda Octavia OCTAVIA 1.9-105 D,https://www.finn.no/car/used/ad.html?finnkode=341805668,2007
"Vilbergvegen 71, 2060 Gardermoen",154000,2015-06-10,Bensin,119900,Skoda Octavia,Skoda Octavia RS RS/200HK/Bluet/Sportstoler/DSG/Cru/Krok/F1/Andoid+,https://www.finn.no/car/used/ad.html?finnkode=341821267,2010
"Ranheimsveien 7a, 7044 Trondheim",105000,2021-02-17,Diesel,299900,Skoda Octavia,"Skoda Octavia 150HK STYLE*KROK*WEBASTO*MATRIX*kr.2.695,- pr mnd!",https://www.finn.no/car/used/ad.html?finnkode=341887899,2021
"Stoaveien 39, 4848 Arendal",29500,2021-09-01,El + Bensin,398000,Skoda Octavia,"Skoda Octavia RS 1,4 TSI 245hk iV Adaptiv cruise/LED-Matrix/Panorama tak",https://www.finn.no/car/used/ad.html?finnkode=341884028,2021
"Kongevegen 26A, 2211 Kongsvinger",164000,2010-04-20,Bensin,81845,Skoda Octavia,Skoda Octavia 105HK/ EU29.02.2026/ AUTOMAT / HENGE.F/ ISO /+++,https://www.finn.no/car/used/ad.html?finnkode=341851333,2010
"Vålgutua 206, 2436 Våler i Solør",186000,2017-06-08,Diesel,209000,Skoda Octavia,Skoda Octavia 2.0TDI 150HK 4X4 DSG+NAVI+R.KAMERA+DAB+LED+ACC+WEBASTO+,https://www.finn.no/car/used/ad.html?finnkode=341818940,2018
"Barstølveien 20, 4636 Kristiansand S",51500,2017-03-17,Diesel,219000,Skoda Octavia,"Skoda Octavia 1,6TDi DSG,Webasto,Kamera,ACC,Mørkeruter,Led,Krok,Norsk",https://www.finn.no/car/used/ad.html?finnkode=341891072,2018
"STORVEIEN 5A, 1620 Gressvik",152700,2014-02-18,Diesel,139900,Skoda Octavia,"Skoda Octavia 1,6L 105HK-4X4-KROK-LED-BLUETOOTH-PARK.SENSOR-EU 09/25",https://www.finn.no/car/used/ad.html?finnkode=341894365,2014
"Sportsveien 3, 3615 Kongsberg",124802,2017-05-26,Diesel,189000,Skoda Octavia,"Skoda Octavia 1,6 TDI 115hk Style aut WEBASTO/H.FESTE/NAVI/KAMERA",https://www.finn.no/car/used/ad.html?finnkode=341896608,2018
"Hensmoveien 20, 3516 Hønefoss",200000,2013-11-19,Diesel,99900,Skoda Octavia,Skoda Octavia 1.6TDi /4x4/Fin EU/Nye Sommerdekk & Felger/Fin Bil++,https://www.finn.no/car/used/ad.html?finnkode=341903947,2013
"Skotselvveien 2, 3302 Hokksund",94565,2019-06-28,Diesel,299000,Skoda Octavia,Skoda Octavia 2.0 TDI 150hk Dsg 4x4 L&K Stv /Webasato/Navi/Krok/Acc,https://www.finn.no/car/used/ad.html?finnkode=341897596,2019
"Landfalløya 7, 3023 Drammen",119370,2014-12-29,Diesel,229500,Skoda Octavia,Skoda Octavia Scout 2.0 TDi 184HK 4x4 I Automatgir I Webasto I Vellholdt!,https://www.finn.no/car/used/ad.html?finnkode=341901192,2015
"Skotselvveien 2, 3302 Hokksund",74250,2019-11-07,Diesel,299000,Skoda Octavia,Skoda Octavia 2.0 Tdi 184hk Dsg Style 4x4 Stv /Webasato/Krok/Acc++,https://www.finn.no/car/used/ad.html?finnkode=341897685,2020
"Kongsveien 39, 9408 Harstad",38500,2020-03-18,Diesel,349000,Skoda Octavia,"Skoda Octavia 2.0 TDI 184 4X4 Elegance, automat,krok,Webasto,lav km.",https://www.finn.no/car/used/ad.html?finnkode=341925966,2020
5200 Os,179500,2016-06-24,Diesel,129305,Skoda Octavia,Skoda Octavia OCTAVIA 1.6-110 D,https://www.finn.no/car/used/ad.html?finnkode=340659400,2016
2080 Eidsvoll,202000,2017-03-10,Diesel,176305,Skoda Octavia,Skoda Octavia OCTAVIA 2.0-150 D 4X4,https://www.finn.no/car/used/ad.html?finnkode=340734698,2018
3681 Notodden,147200,2017-12-28,Diesel,210000,Skoda Octavia,"Skoda Octavia 2,0 TDI 150hk 4x4 Style 7DSG, Webasto",https://www.finn.no/car/used/ad.html?finnkode=340507141,2018
"29 Kalstadheia, 4990 Søndeled",157000,2019-07-23,Diesel,179000,Skoda Octavia,"Skoda Octavia OCTAVIA 1.6TDI 115HK DAG STYLE,NAVI,WEBASTO,KOROK++",https://www.finn.no/car/used/ad.html?finnkode=340833060,2019
